299793;003;01/12/2015;13151202968184000103650530001501549032997936;113160349622626
585538;001;01/12/2015;13151202968184000103650510001436711015855380;113150328663217
297290;005;01/12/2015;13151202968184000103650550000178989052972904;113160349622384
585539;001;01/12/2015;13151202968184000103650510001436721015855395;113150328663556
501070;002;01/12/2015;13151202968184000103650520001722061025010709;113150328663169
501071;002;01/12/2015;13151202968184000103650520001722071025010714;113150328663631
501072;002;01/12/2015;13151202968184000103650520001722081025010720;113150328664005
020888;007;01/12/2015;13151202968184000103650570000042099070208881;113160349622018
501073;002;01/12/2015;13151202968184000103650520001722091025010735;113150328664320
100532;006;01/12/2015;13151202968184000103650560000122399061005326;113160349621760
299794;003;01/12/2015;13151202968184000103650530001501559032997941;113160349621569
297291;005;01/12/2015;13151202968184000103650550000178999052972910;113160349621376
501074;002;01/12/2015;13151202968184000103650520001722101025010744;113150328665139
299795;003;01/12/2015;13151202968184000103650530001501569032997957;113160349621129
297292;005;01/12/2015;13151202968184000103650550000179009052972920;113160349620820
100533;006;01/12/2015;13151202968184000103650560000122409061005335;113160349620657
299796;003;01/12/2015;13151202968184000103650530001501579032997962;113160349620388
255186;004;01/12/2015;13151202968184000103650540001039729042551861;113160349620099
299797;003;01/12/2015;13151202968184000103650530001501589032997978;113160349619938
100534;006;01/12/2015;13151202968184000103650560000122419061005340;113160349619677
255187;004;01/12/2015;13151202968184000103650540001039739042551877;113160349619397
255188;004;01/12/2015;13151202968184000103650540001039749042551882;113160349619200
255189;004;01/12/2015;13151202968184000103650540001039759042551898;113160349618963
255190;004;01/12/2015;13151202968184000103650540001039769042551909;113160349618783
501075;002;01/12/2015;13151202968184000103650520001722111025010750;113150328668189
297293;005;01/12/2015;13151202968184000103650550000179019052972936;113160349618504
501076;002;01/12/2015;13151202968184000103650520001722121025010765;113150328668401
